Show_ID,Titles,Categories,Date_Added,Ratings,Directors
s204,Kyaa Kool Hain Hum 3,Movie,2021-08-27,TV-MA,Umesh Ghadge
s205,Kyaa Super Kool Hain Hum,Movie,2021-08-27,TV-MA,Sachin Yardi
s206,Kyo Kii... Main Jhuth Nahin Bolta,Movie,2021-08-27,TV-14,David Dhawan
s207,"LSD: Love, Sex Aur Dhokha",Movie,2021-08-27,TV-MA,Dibakar Banerjee
s208,Mission Istaanbul: Darr Ke Aagey Jeet Hai,Movie,2021-08-27,TV-14,Apoorva Lakhia
s209,Once Upon a Time in Mumbaai,Movie,2021-08-27,TV-14,Milan Luthria
s210,Once Upon a Time in Mumbai Dobaara!,Movie,2021-08-27,TV-14,Milan Luthria
s211,Ragini MMS,Movie,2021-08-27,TV-MA,Pawan Kripalani
s212,Ragini MMS 2,Movie,2021-08-27,TV-MA,Bhushan Patel
s215,SAS: Rise of the Black Swan,Movie,2021-08-27,R,Magnus Martens
s216,Shootout at Lokhandwala,Movie,2021-08-27,TV-MA,Apoorva Lakhia
s217,Shor In the City,Movie,2021-08-27,TV-14,"Raj Nidimoru, Krishna D.K."
s218,The Dirty Picture,Movie,2021-08-27,TV-14,Milan Luthria
s222,"Bob Ross: Happy Accidents, Betrayal & Greed",Movie,2021-08-25,TV-14,Joshua Rofé
s223,Clickbait,TV Show,2021-08-25,TV-MA,Brad Anderson
s224,John of God: The Crimes of a Spiritual Healer,TV Show,2021-08-25,TV-MA,"Mauricio Dias, Tatiana Villela"
s228,Really Love,Movie,2021-08-25,TV-MA,Angel Kristi Williams
s229,The November Man,Movie,2021-08-25,R,Roger Donaldson
s230,The Old Ways,Movie,2021-08-25,TV-MA,Christopher Alender
s231,The River Runner,Movie,2021-08-25,TV-MA,Rush Sturges
s232,The Water Man,Movie,2021-08-25,PG,David Oyelowo
s234,Count Me In,Movie,2021-08-24,TV-MA,Mark Lo
s236,Untold: Caitlyn Jenner,Movie,2021-08-24,TV-PG,Crystal Moselle
s237,Boomika,Movie,2021-08-23,TV-14,Rathindran R Prasad
s238,Boomika (Hindi),Movie,2021-08-23,TV-14,Rathindran R Prasad
