Title_ID,Titles,Categories,Date_Added,Ratings,Description
tid97,House Party 3,Movie,2021-09-01,R,"After Kid gets engaged, Play plans to throw the biggest bachelor party ever. But every celebration for these two always comes with complications."
tid98,HQ Barbers,TV Show,2021-09-01,TV-14,"When a family run barber shop in the heart of Lagos is threatened by real estate developers, they'll do whatever it takes to stay in business."
tid99,I Got the Hook Up,Movie,2021-09-01,R,"After getting their hands on a misdirected shipment of cell phones, two hustlers try to cash in by hawking the merchandise from the back of their van."
tid100,In Too Deep,Movie,2021-09-01,R,"Rookie cop Jeffrey Cole poses as a drug dealer to take down a crime lord and soon gets caught up in an underworld of bribery, intimidation and murder."
tid101,Initial D,Movie,2021-09-01,TV-14,"By day, an 18-year-old delivers tofu for his father, a retired race car driver; but by night, it's the teen's turn to take the wheel."
tid102,Janoskians: Untold and Untrue,Movie,2021-09-01,TV-MA,Follow the story of three Australian brothers and their two friends who became an international sensation by posting pranks and gags on YouTube.
tid103,Labyrinth,Movie,2021-09-01,PG,"In Jim Henson's fantasy, teen Sarah embarks on a life-altering quest to rescue her little brother from the clutches of a treacherous goblin."
tid104,Letters to Juliet,Movie,2021-09-01,PG,"By responding to a letter addressed to Shakespeare's tragic heroine Juliet Capulet, an American woman in Verona, Italy, is led in search of romance."
tid105,Level 16,Movie,2021-09-01,TV-14,"In a bleak academy that teaches girls the virtues of passivity, two students uncover the ghastly purpose behind their training and resolve to escape."
tid106,Love Don't Cost a Thing,Movie,2021-09-01,PG-13,A nerdy teen tries to make himself cool by association when he convinces a popular cheerleader to pose as his girlfriend.
tid107,Love in a Puff,Movie,2021-09-01,TV-MA,"When the Hong Kong government enacts a ban on smoking cigarettes indoors, the new law drives hard-core smokers outside, facilitating unlikely connections."
tid108,Mars Attacks!,Movie,2021-09-01,PG-13,"As flying saucers head for Earth, the president of the United States prepares to welcome alien visitors but soon learns they're not coming in peace."
tid109,Marshall,Movie,2021-09-01,PG-13,"This biopic of Thurgood Marshall, the first Black U.S. Supreme Court justice, centers on his pivotal work in a sensational case as an NAACP lawyer."
tid110,My Boss's Daughter,Movie,2021-09-01,R,"A young man house-sits for his mean boss, hoping to use it as an opportunity to win the heart of the boss's daughter, on whom he's long had a crush."
tid111,Mystery Men,Movie,2021-09-01,PG-13,A team of far-from-super heroes try to earn respect by springing into action when brave and dashing Captain Amazing disappears.
tid112,Once Upon a Time in America,Movie,2021-09-01,R,Director Sergio Leone's sprawling crime epic follows a group of Jewish mobsters who rise in the ranks of organized crime in 1920s New York City.
tid113,Open Season 2,Movie,2021-09-01,PG,Elliot the buck and his forest-dwelling cohorts must rescue their dachshund pal from some spoiled pets bent on returning him to domesticity.
tid114,Osmosis Jones,Movie,2021-09-01,PG,Peter and Bobby Farrelly outdo themselves with this partially animated tale about an out-of-shape 40-year-old man who's the host to various organisms.
tid115,Poseidon,Movie,2021-09-01,PG-13,"A tidal wave spells disaster for a ship of New Year's Eve revelers when it capsizes the mammoth vessel, sending passengers into a battle for survival."
tid116,Rhyme & Reason,Movie,2021-09-01,R,"The world and culture of rap song topics such as race, violence, police, family and sex are examined by hip-hop performers from both coasts."
tid117,Same Kind of Different as Me,Movie,2021-09-01,PG-13,A wealthy couple whose marriage is on the rocks befriends a local homeless man who changes their perspectives in this inspiring true story.
tid118,School of Rock,Movie,2021-09-01,PG-13,"Musician Dewey Finn gets a job as a fourth-grade substitute teacher, where he secretly begins teaching his students the finer points of rock 'n' roll."
tid119,Snervous Tyler Oakley,Movie,2021-09-01,PG-13,"The inspiring Internet star and LGBT advocate shares an intimate view of his life and relationships during his international ""Slumber Party"" tour."
tid120,Tears of the Sun,Movie,2021-09-01,R,"A Navy SEAL is sent to a war-torn African jungle to rescue a doctor, only to realize he must also save the refugees in the physician's care."
tid121,The Blue Lagoon,Movie,2021-09-01,R,"Two shipwrecked children, stranded for years on a deserted island, fall in love as teenagers and attempt to forge a life in the isolated paradise."
tid122,The Golden Child,Movie,2021-09-01,PG-13,A fast-talking L.A. social worker goes through a series of traps and terrors to find a kidnapped Tibetan child with mystical powers.
tid123,The Guns of Navarone,Movie,2021-09-01,TV-14,"During World War II, British forces launch an attack designed to take out the massive Nazi cannons that guard a critical sea channel."
