Title_ID,Title,Type,Category,Date_Added,Rating,Description
tid617,"Blue, Painful, Fragile",Movie,"International Movies, Thrillers",2021-02-24,TV-14,"Kaede and Hisano form a club to change the world. When Hisano vanishes, Kaede throws himself into bringing the club back to its idealistic roots."
tid618,Brian Regan: On the Rocks,Movie,Stand-Up Comedy,2021-02-23,TV-G,"Brian Regan tackles the big issues weighing on him, including aging, time, obsessive behavior, backpacks on airplanes, ungrateful horses and raisins."
tid619,Red,Movie,"Dramas, International Movies",2021-02-23,TV-14,"A murder investigation leads police to a photo of a suspect, but when two men are found with faces that match the picture, the case gets doubly tricky."
tid620,The Conjuring,Movie,"Horror Movies, Thrillers",2021-02-21,R,"When a family starts experiencing supernatural terrors after moving into a Rhode Island farmhouse, they seek the help of a pair of noted demonologists."
tid621,The Conjuring 2,Movie,Horror Movies,2021-02-21,R,"After her daughter unwittingly releases a malevolent spirit in their house in London, a woman enlists the Warrens' help to confront the evil presence."
tid622,Classmates Minus,Movie,"Comedies, Dramas, Independent Movies",2021-02-20,TV-MA,"Four school buddies — a director, a temp worker, an insurance salesman and a paper craftsman — grapple with unfulfilled dreams amid middle age ennui."
tid623,Operation Finale,Movie,"Dramas, Thrillers",2021-02-20,PG-13,"In 1960, Israeli spies undertake a daring mission to capture notorious Nazi war criminal Adolf Eichmann and bring him to justice. Based on real events."
tid624,I Care a Lot,Movie,"Comedies, LGBTQ Movies, Thrillers",2021-02-19,R,A court-appointed legal guardian defrauds her older clients and traps them under her care. But her latest mark comes with some unexpected baggage.
tid625,Love,Movie,"Dramas, Independent Movies, International Movies",2021-02-19,TV-14,The troubling inner workings of a toxic marriage reveal themselves in surprising ways after one of the couple’s feuds spins out of control.
tid626,Pitta Kathalu,TV Show,"International TV Shows, TV Dramas",2021-02-19,TV-MA,"From secrets and lies to jealousy and control, four stories in this anthology film explore the darker, deceptive sides of love."
tid627,Eeb Allay Ooo!,Movie,"Comedies, Dramas, Independent Movies",2021-02-18,TV-MA,"Hired as a monkey repeller upon moving to Delhi, a young man struggles to find his footing in his unenviable job and his place in the unforgiving world."
tid628,No Escape Room,Movie,Horror Movies,2021-02-18,TV-14,A lighthearted bonding opportunity takes a dark and decidedly dangerous turn when a father and daughter try out an escape room in a small town.
tid629,Animals on the Loose: A You vs. Wild Movie,Movie,Children & Family Movies,2021-02-16,TV-PG,"When wild animals escape from a sanctuary, Bear Grylls — and you — must pursue them and secure their protective habitat. An interactive special."
tid630,Awara Paagal Deewana,Movie,"Action & Adventure, Comedies, Dramas",2021-02-16,TV-14,A dentist unwittingly becomes caught in the madcap fight between two criminal brothers-in-law trying to kill one another off to claim their inheritance.
tid631,The Resurrection of Gavin Stone,Movie,"Children & Family Movies, Comedies, Dramas",2021-02-16,PG,"After one too many run-ins with the law, a Hollywood bad boy finds redemption while fulfilling his court-ordered community service at a megachurch."
tid632,"My Teacher, My Obsession",Movie,Thrillers,2021-02-15,TV-14,"When Riley changed schools, she didn't expect the girls to crush on her English teacher dad. And he didn't expect a disturbing infatuation."
tid633,Namaste Wahala,Movie,"Comedies, Dramas, International Movies",2021-02-14,TV-14,An interracial romance hits humorous and heart-wrenching hiccups as the couple's parents fight tooth and nail against their relationship.
tid634,Monsoon,Movie,"Dramas, Independent Movies, LGBTQ Movies",2021-02-13,TV-MA,A reflective man must come to terms with his forced displacement from Vietnam when he returns to his birthplace to spread his parents' ashes.
tid635,Hate by Dani Rovira,Movie,Stand-Up Comedy,2021-02-12,TV-MA,"From his hometown of Málaga, Dani Rovira reflects on human beings’ nonsensical hatred in this hilarious and unfiltered comedy special."
tid636,Mundina Nildana,Movie,"Dramas, International Movies, Romantic Movies",2021-02-12,TV-MA,"As three young professionals chase their wildly different dreams, their relationships with each other indelibly impact their journeys of self-discovery."
tid637,To All The Boys: Always And Forever,Movie,"Comedies, Romantic Movies",2021-02-12,TV-14,Senior year of high school takes center stage as Lara Jean returns from a family trip to Korea and considers her college plans — with and without Peter.
tid638,Xico's Journey,Movie,Children & Family Movies,2021-02-12,TV-Y7,"A girl, a dog and her best pal set out to save a mountain from a gold-hungry corporation. But the key lies closer to home, with her sidekick pup, Xico."
tid639,Growing up and other problems,Movie,"Comedies, Dramas, International Movies",2021-02-11,TV-14,A 30-something woman without a steady partner or income samples stability when her pregnant best friend asks her to be the godmother of her child.
tid640,Layla Majnun,Movie,"Dramas, International Movies, Romantic Movies",2021-02-11,TV-14,"While in Azerbaijan, Layla, an Indonesian scholar, falls for Samir, an admirer of her work — but her arranged marriage stands in the way."
tid641,Middle of Nowhere,Movie,"Dramas, Independent Movies, Romantic Movies",2021-02-11,R,"After her husband is sent to prison for eight years, medical student Ruby shelves her studies to focus on her partner's welfare as he serves his time."
tid642,Red Dot,Movie,"International Movies, Thrillers",2021-02-11,TV-MA,"Trying to rekindle their marriage and with a child on the way, a young couple on a ski trip suddenly finds themselves stalked by remorseless killers."
tid643,Squared Love,Movie,"Comedies, International Movies, Romantic Movies",2021-02-11,TV-14,A celebrity journalist and renowned womanizer starts to rethink his life choices after he falls for a mysterious model who leads a double life.
tid644,This Is the Life,Movie,"Documentaries, Music & Musicals",2021-02-11,TV-MA,"Examine how the group of alternative hip-hop artists known as the Good Lifers started a movement and created a robust, progressive musical community."
tid645,The Misadventures of Hedi and Cokeman,Movie,"Comedies, International Movies",2021-02-10,TV-MA,"In Paris, two dysfunctional dealers use family ties to try to boost their small drug business in this crass comedy based on the webseries."
tid646,The World We Make,Movie,"Dramas, Romantic Movies",2021-02-10,PG,"A teenage equestrian and a local football player fall for each other, but simmering racism in their small town puts their relationship to the test."
